ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, 2, 9, 0.99, 0.99, 8, 195, 193, 2, 0, 8, 0.01, 0.00, 0.01
RF-501, Turn, 2, 10, 0.99, 0.99, 7, 196, 194, 2, 0, 7, 0.01, 0.00, 0.01
RF-501, Turn, 2, 11, 0.98, 0.87, 8, 195, 192, 3, 2, 6, 0.02, 0.25, 0.20
RF-501, Turn, 2, 12, 0.97, 0.92, 14, 189, 185, 4, 2, 12, 0.02, 0.14, 0.13
RF-501, Turn, 2, 13, 1.00, 1.00, 5, 198, 198, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Turn, 2, 14, 0.98, 0.89, 19, 184, 183, 1, 4, 15, 0.01, 0.21, 0.17
RF-501, Turn, 2, 15, 0.97, 0.92, 14, 189, 185, 4, 2, 12, 0.02, 0.14, 0.13
RF-501, Square, 2, 1, 0.93, 0.90, 16, 229, 214, 15, 2, 14, 0.07, 0.12, 0.12
RF-501, Square, 2, 2, 1.00, 0.98, 24, 221, 221, 0, 1, 23, 0.00, 0.04, 0.04
RF-501, Square, 2, 3, 0.96, 0.89, 16, 229, 221, 8, 3, 13, 0.03, 0.19, 0.16
RF-501, Square, 2, 4, 0.98, 0.83, 15, 230, 230, 0, 5, 10, 0.00, 0.33, 0.25
RF-501, Square, 2, 5, 0.88, 0.68, 13, 232, 209, 23, 7, 6, 0.10, 0.54, 0.37
RF-501, Square, 2, 6, 0.98, 0.92, 15, 230, 226, 4, 2, 13, 0.02, 0.13, 0.12
RF-501, Square, 2, 7, 0.94, 0.67, 17, 228, 224, 4, 11, 6, 0.02, 0.65, 0.40
RF-501, Square, 2, 8, 0.90, 0.76, 20, 225, 208, 17, 8, 12, 0.08, 0.40, 0.30
RF-501, Square, 2, 9, 0.96, 0.94, 12, 233, 223, 10, 1, 11, 0.04, 0.08, 0.08
RF-501, Square, 2, 10, 0.95, 0.71, 11, 234, 227, 7, 6, 5, 0.03, 0.55, 0.36
RF-501, Square, 2, 11, 1.00, 1.00, 15, 230, 230, 0, 0, 15, 0.00, 0.00, 0.00
RF-501, Square, 2, 12, 1.00, 1.00, 17, 228, 228, 0, 0, 17, 0.00, 0.00, 0.00
RF-501, Square, 2, 13, 0.98, 0.94, 20, 225, 222, 3, 2, 18, 0.01, 0.10, 0.09
RF-501, Square, 2, 14, 0.90, 0.84, 13, 232, 211, 21, 3, 10, 0.09, 0.23, 0.20
RF-501, Square, 2, 15, 0.98, 0.97, 21, 224, 219, 5, 1, 20, 0.02, 0.05, 0.05
RF-501, Circle, 3, 1, 0.98, 0.93, 15, 169, 167, 2, 2, 13, 0.01, 0.13, 0.12
RF-501, Circle, 3, 2, 0.97, 0.84, 19, 165, 165, 0, 6, 13, 0.00, 0.32, 0.24
RF-501, Circle, 3, 3, 0.97, 0.99, 17, 167, 162, 5, 0, 17, 0.03, 0.00, 0.03
RF-501, Circle, 3, 4, 0.97, 0.90, 11, 173, 169, 4, 2, 9, 0.02, 0.18, 0.16
RF-501, Circle, 3, 5, 0.99, 0.99, 12, 172, 170, 2, 0, 12, 0.01, 0.00, 0.01
RF-501, Circle, 3, 6, 0.98, 0.88, 16, 168, 168, 0, 4, 12, 0.00, 0.25, 0.20
RF-501, Circle, 3, 7, 0.97, 0.85, 14, 170, 168, 2, 4, 10, 0.01, 0.29, 0.22
RF-501, Circle, 3, 8, 0.93, 0.91, 9, 175, 164, 11, 1, 8, 0.06, 0.11, 0.11
RF-501, Circle, 3, 9, 0.96, 0.85, 17, 167, 165, 2, 5, 12, 0.01, 0.29, 0.23
RF-501, Circle, 3, 10, 0.94, 0.73, 8, 176, 169, 7, 4, 4, 0.04, 0.50, 0.34
RF-501, Circle, 3, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, 3, 12, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, 3, 13, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, 3, 14, 0.99, 1.00, 16, 168, 167, 1, 0, 16, 0.01, 0.00, 0.01
RF-501, Circle, 3, 15, 0.97, 0.81, 11, 173, 171, 2, 4, 7, 0.01, 0.36, 0.27
RF-501, Updown, 3, 1, 0.92, 0.86, 14, 152, 142, 10, 3, 11, 0.07, 0.21, 0.19
RF-501, Updown, 3, 2, 0.95, 0.91, 15, 151, 145, 6, 2, 13, 0.04, 0.13, 0.12
RF-501, Updown, 3, 3, 0.99, 1.00, 15, 151, 150, 1, 0, 15, 0.01, 0.00, 0.01
RF-501, Updown, 3, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, 3, 5, 0.96, 0.84, 10, 156, 152, 4, 3, 7, 0.03, 0.30, 0.24
RF-501, Updown, 3, 6, 0.96, 0.84, 13, 153, 151, 2, 4, 9, 0.01, 0.31, 0.24
RF-501, Updown, 3, 7, 0.98, 0.91, 6, 160, 157, 3, 1, 5, 0.02, 0.17, 0.15
RF-501, Updown, 3, 8, 0.99, 0.99, 7, 159, 157, 2, 0, 7, 0.01, 0.00, 0.01
RF-501, Updown, 3, 9, 0.99, 0.99, 14, 152, 150, 2, 0, 14, 0.01, 0.00, 0.01
RF-501, Updown, 3, 10, 0.93, 0.73, 10, 156, 149, 7, 5, 5, 0.04, 0.50, 0.34
RF-501, Updown, 3, 11, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, 3, 12, 0.95, 0.88, 5, 161, 154, 7, 1, 4, 0.04, 0.20, 0.17
RF-501, Updown, 3, 13, 0.98, 0.99, 2, 164, 161, 3, 0, 2, 0.02, 0.00, 0.02
RF-501, Updown, 3, 14, 0.90, 0.85, 15, 151, 137, 14, 3, 12, 0.09, 0.20, 0.18
RF-501, Updown, 3, 15, 0.96, 0.88, 19, 147, 144, 3, 4, 15, 0.02, 0.21, 0.18
RF-501, Tilt, 3, 1, 0.99, 0.93, 16, 185, 184, 1, 2, 14, 0.01, 0.12, 0.11
RF-501, Tilt, 3, 2, 0.96, 0.93, 25, 176, 171, 5, 3, 22, 0.03, 0.12, 0.11
RF-501, Tilt, 3, 3, 0.98, 0.96, 16, 185, 182, 3, 1, 15, 0.02, 0.06, 0.06
RF-501, Tilt, 3, 4, 1.00, 1.00, 18, 183, 183, 0, 0, 18, 0.00, 0.00, 0.00
RF-501, Tilt, 3, 5, 0.99, 0.99, 7, 194, 191, 3, 0, 7, 0.02, 0.00, 0.02
RF-501, Tilt, 3, 6, 0.96, 0.98, 10, 191, 182, 9, 0, 10, 0.05, 0.00, 0.04
RF-501, Tilt, 3, 7, 0.96, 0.82, 12, 189, 185, 4, 4, 8, 0.02, 0.33, 0.25
RF-501, Tilt, 3, 8, 0.92, 0.76, 16, 185, 176, 9, 7, 9, 0.05, 0.44, 0.32
RF-501, Tilt, 3, 9, 0.93, 0.80, 9, 192, 180, 12, 3, 6, 0.06, 0.33, 0.26
RF-501, Tilt, 3, 10, 1.00, 1.00, 8, 193, 192, 1, 0, 8, 0.01, 0.00, 0.01
RF-501, Tilt, 3, 11, 0.94, 0.68, 10, 191, 184, 7, 6, 4, 0.04, 0.60, 0.38
RF-501, Tilt, 3, 12, 0.94, 0.87, 10, 191, 181, 10, 2, 8, 0.05, 0.20, 0.17
RF-501, Tilt, 3, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 3, 14, 0.99, 0.97, 17, 184, 182, 2, 1, 16, 0.01, 0.06, 0.06
RF-501, Tilt, 3, 15, 1.00, 1.00, 17, 184, 183, 1, 0, 17, 0.01, 0.00, 0.01
RF-501, Triangle, 3, 1, 0.98, 0.93, 15, 212, 210, 2, 2, 13, 0.01, 0.13, 0.12
RF-501, Triangle, 3, 2, 0.96, 0.91, 26, 201, 196, 5, 4, 22, 0.02, 0.15, 0.14
