ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, Gyr, 8, 0.94, 0.51, 42, 626, 626, 0, 41, 1, 0.00, 0.98, 0.49
RF-501, Tilt, Gyr, 9, 0.94, 0.58, 46, 622, 621, 1, 39, 7, 0.00, 0.85, 0.46
RF-501, Tilt, Gyr, 10, 0.97, 0.78, 41, 627, 623, 4, 18, 23, 0.01, 0.44, 0.31
RF-501, Tilt, Gyr, 11, 0.99, 0.91, 28, 640, 640, 0, 5, 23, 0.00, 0.18, 0.15
RF-501, Tilt, Gyr, 12, 0.95, 0.68, 41, 627, 619, 8, 26, 15, 0.01, 0.63, 0.39
RF-501, Tilt, Gyr, 13, 1.00, 1.00, 34, 634, 633, 1, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, Gyr, 14, 0.93, 0.59, 55, 613, 612, 1, 45, 10, 0.00, 0.82, 0.45
RF-501, Tilt, Gyr, 15, 0.99, 0.95, 47, 621, 620, 1, 5, 42, 0.00, 0.11, 0.10
RF-501, Triangle, Gyr, 1, 0.97, 0.75, 45, 711, 707, 4, 22, 23, 0.01, 0.49, 0.33
RF-501, Triangle, Gyr, 2, 0.97, 0.84, 57, 699, 698, 1, 18, 39, 0.00, 0.32, 0.24
RF-501, Triangle, Gyr, 3, 0.96, 0.79, 61, 695, 690, 5, 25, 36, 0.01, 0.41, 0.29
RF-501, Triangle, Gyr, 4, 0.94, 0.64, 66, 690, 688, 2, 47, 19, 0.00, 0.71, 0.42
RF-501, Triangle, Gyr, 5, 0.96, 0.68, 44, 712, 709, 3, 28, 16, 0.00, 0.64, 0.39
RF-501, Triangle, Gyr, 6, 0.95, 0.59, 43, 713, 711, 2, 35, 8, 0.00, 0.81, 0.45
RF-501, Triangle, Gyr, 7, 0.98, 0.88, 44, 712, 707, 5, 10, 34, 0.01, 0.23, 0.19
RF-501, Triangle, Gyr, 8, 0.99, 0.91, 49, 707, 707, 0, 9, 40, 0.00, 0.18, 0.16
RF-501, Triangle, Gyr, 9, 0.95, 0.66, 51, 705, 701, 4, 34, 17, 0.01, 0.67, 0.40
