ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, RotVec, 6, 0.99, 0.96, 45, 567, 565, 2, 3, 42, 0.00, 0.07, 0.06
RF-501, Circle, RotVec, 7, 1.00, 0.97, 37, 575, 575, 0, 2, 35, 0.00, 0.05, 0.05
RF-501, Circle, RotVec, 8, 0.98, 0.92, 48, 564, 557, 7, 7, 41, 0.01, 0.15, 0.13
RF-501, Circle, RotVec, 9, 0.97, 0.92, 46, 566, 556, 10, 7, 39, 0.02, 0.15, 0.13
RF-501, Circle, RotVec, 10, 0.98, 0.93, 39, 573, 568, 5, 5, 34, 0.01, 0.13, 0.11
RF-501, Circle, RotVec, 11, 1.00, 0.98, 29, 583, 582, 1, 1, 28, 0.00, 0.03, 0.03
RF-501, Circle, RotVec, 12, 1.00, 1.00, 33, 579, 577, 2, 0, 33, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 13, 1.00, 1.00, 32, 580, 580, 0, 0, 32, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 14, 0.98, 0.96, 48, 564, 557, 7, 3, 45, 0.01, 0.06, 0.06
RF-501, Circle, RotVec, 15, 0.99, 0.95, 32, 580, 578, 2, 3, 29, 0.00, 0.09, 0.09
RF-501, Updown, RotVec, 1, 1.00, 0.99, 40, 512, 511, 1, 1, 39, 0.00, 0.03, 0.02
RF-501, Updown, RotVec, 2, 0.99, 0.96, 41, 511, 510, 1, 3, 38, 0.00, 0.07, 0.07
RF-501, Updown, RotVec, 3, 0.96, 0.91, 55, 497, 484, 13, 9, 46, 0.03, 0.16, 0.14
RF-501, Updown, RotVec, 4, 0.99, 0.92, 26, 526, 526, 0, 4, 22, 0.00, 0.15, 0.13
RF-501, Updown, RotVec, 5, 0.99, 0.95, 33, 519, 517, 2, 3, 30, 0.00, 0.09, 0.08
RF-501, Updown, RotVec, 6, 1.00, 0.99, 43, 509, 509, 0, 1, 42, 0.00, 0.02, 0.02
