ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, Gyr, 5, 0.98, 0.91, 12, 191, 188, 3, 2, 10, 0.02, 0.17, 0.14
RF-501, Turn, Gyr, 6, 0.94, 0.68, 16, 187, 185, 2, 10, 6, 0.01, 0.62, 0.39
RF-501, Turn, Gyr, 7, 0.98, 0.83, 9, 194, 192, 2, 3, 6, 0.01, 0.33, 0.25
RF-501, Turn, Gyr, 8, 0.98, 0.84, 10, 193, 191, 2, 3, 7, 0.01, 0.30, 0.23
RF-501, Turn, Gyr, 9, 0.90, 0.77, 8, 195, 177, 18, 3, 5, 0.09, 0.38, 0.29
RF-501, Turn, Gyr, 10, 0.97, 0.71, 7, 196, 194, 2, 4, 3, 0.01, 0.57, 0.37
RF-501, Turn, Gyr, 11, 0.98, 0.81, 8, 195, 193, 2, 3, 5, 0.01, 0.38, 0.27
RF-501, Turn, Gyr, 12, 0.98, 0.92, 14, 189, 186, 3, 2, 12, 0.02, 0.14, 0.13
RF-501, Turn, Gyr, 13, 0.97, 0.89, 5, 198, 193, 5, 1, 4, 0.03, 0.20, 0.17
RF-501, Turn, Gyr, 14, 0.91, 0.86, 19, 184, 170, 14, 4, 15, 0.08, 0.21, 0.19
RF-501, Turn, Gyr, 15, 0.99, 0.89, 14, 189, 189, 0, 3, 11, 0.00, 0.21, 0.18
RF-501, Square, Gyr, 1, 0.96, 0.72, 16, 229, 228, 1, 9, 7, 0.00, 0.56, 0.36
RF-501, Square, Gyr, 2, 0.93, 0.72, 24, 221, 218, 3, 13, 11, 0.01, 0.54, 0.35
RF-501, Square, Gyr, 3, 0.97, 0.92, 16, 229, 223, 6, 2, 14, 0.03, 0.12, 0.11
RF-501, Square, Gyr, 4, 0.95, 0.69, 15, 230, 227, 3, 9, 6, 0.01, 0.60, 0.38
RF-501, Square, Gyr, 5, 0.97, 0.84, 13, 232, 228, 4, 4, 9, 0.02, 0.31, 0.24
