ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, 2, 10, 1.00, 1.00, 8, 193, 192, 1, 0, 8, 0.01, 0.00, 0.01
RF-501, Tilt, 2, 11, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 12, 0.97, 0.84, 10, 191, 188, 3, 3, 7, 0.02, 0.30, 0.23
RF-501, Tilt, 2, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 14, 0.97, 0.88, 17, 184, 182, 2, 4, 13, 0.01, 0.24, 0.19
RF-501, Tilt, 2, 15, 1.00, 0.97, 17, 184, 184, 0, 1, 16, 0.00, 0.06, 0.06
RF-501, Triangle, 2, 1, 0.96, 0.76, 15, 212, 210, 2, 7, 8, 0.01, 0.47, 0.32
RF-501, Triangle, 2, 2, 0.95, 0.77, 26, 201, 201, 0, 12, 14, 0.00, 0.46, 0.32
RF-501, Triangle, 2, 3, 0.96, 0.83, 16, 211, 207, 4, 5, 11, 0.02, 0.31, 0.24
RF-501, Triangle, 2, 4, 0.95, 0.87, 18, 209, 201, 8, 4, 14, 0.04, 0.22, 0.19
RF-501, Triangle, 2, 5, 0.95, 0.79, 13, 214, 207, 7, 5, 8, 0.03, 0.38, 0.28
RF-501, Triangle, 2, 6, 0.97, 0.80, 13, 214, 212, 2, 5, 8, 0.01, 0.38, 0.28
RF-501, Triangle, 2, 7, 0.96, 0.78, 18, 209, 209, 0, 8, 10, 0.00, 0.44, 0.31
RF-501, Triangle, 2, 8, 0.98, 0.89, 14, 213, 212, 1, 3, 11, 0.00, 0.21, 0.18
RF-501, Triangle, 2, 9, 0.97, 0.88, 17, 210, 208, 2, 4, 13, 0.01, 0.24, 0.19
RF-501, Triangle, 2, 10, 0.98, 0.93, 16, 211, 209, 2, 2, 14, 0.01, 0.12, 0.11
RF-501, Triangle, 2, 11, 1.00, 1.00, 7, 220, 220, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, 2, 12, 0.98, 0.99, 10, 217, 212, 5, 0, 10, 0.02, 0.00, 0.02
RF-501, Triangle, 2, 13, 0.98, 0.90, 21, 206, 206, 0, 4, 17, 0.00, 0.19, 0.16
RF-501, Triangle, 2, 14, 0.98, 0.94, 9, 218, 214, 4, 1, 8, 0.02, 0.11, 0.10
RF-501, Triangle, 2, 15, 0.95, 0.77, 14, 213, 208, 5, 6, 8, 0.02, 0.43, 0.31
