ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Square, 5, 13, 1.00, 1.00, 64, 752, 752, 0, 0, 64, 0.00, 0.00, 0.00
RF-501, Square, 5, 14, 0.97, 0.84, 61, 755, 751, 4, 19, 42, 0.01, 0.31, 0.24
RF-501, Square, 5, 15, 0.98, 0.91, 73, 743, 736, 7, 13, 60, 0.01, 0.18, 0.15
RF-501, Circle, 6, 1, 0.98, 0.84, 42, 570, 569, 1, 13, 29, 0.00, 0.31, 0.24
RF-501, Circle, 6, 2, 0.99, 0.95, 47, 565, 565, 0, 5, 42, 0.00, 0.11, 0.10
RF-501, Circle, 6, 3, 0.98, 0.95, 59, 553, 548, 5, 5, 54, 0.01, 0.08, 0.08
RF-501, Circle, 6, 4, 0.98, 0.83, 35, 577, 575, 2, 12, 23, 0.00, 0.34, 0.26
RF-501, Circle, 6, 5, 1.00, 0.97, 40, 572, 572, 0, 2, 38, 0.00, 0.05, 0.05
RF-501, Circle, 6, 6, 1.00, 0.97, 45, 567, 567, 0, 3, 42, 0.00, 0.07, 0.06
RF-501, Circle, 6, 7, 1.00, 1.00, 37, 575, 575, 0, 0, 37, 0.00, 0.00, 0.00
RF-501, Circle, 6, 8, 0.98, 0.91, 48, 564, 557, 7, 8, 40, 0.01, 0.17, 0.14
RF-501, Circle, 6, 9, 0.98, 0.87, 46, 566, 564, 2, 12, 34, 0.00, 0.26, 0.21
RF-501, Circle, 6, 10, 0.99, 0.91, 39, 573, 573, 0, 7, 32, 0.00, 0.18, 0.15
RF-501, Circle, 6, 11, 1.00, 0.97, 29, 583, 583, 0, 2, 27, 0.00, 0.07, 0.06
RF-501, Circle, 6, 12, 1.00, 1.00, 33, 579, 578, 1, 0, 33, 0.00, 0.00, 0.00
RF-501, Circle, 6, 13, 1.00, 1.00, 32, 580, 579, 1, 0, 32, 0.00, 0.00, 0.00
RF-501, Circle, 6, 14, 0.99, 0.98, 48, 564, 562, 2, 2, 46, 0.00, 0.04, 0.04
RF-501, Circle, 6, 15, 0.99, 0.94, 32, 580, 580, 0, 4, 28, 0.00, 0.12, 0.11
