ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Updown, RotVec, 8, 1.00, 1.00, 7, 159, 159, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 9, 0.97, 0.82, 14, 152, 152, 0, 5, 9, 0.00, 0.36, 0.26
RF-501, Updown, RotVec, 10, 0.98, 0.90, 10, 156, 155, 1, 2, 8, 0.01, 0.20, 0.17
RF-501, Updown, RotVec, 11, 0.98, 0.85, 13, 153, 153, 0, 4, 9, 0.00, 0.31, 0.24
RF-501, Updown, RotVec, 12, 1.00, 1.00, 5, 161, 161, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 13, 1.00, 1.00, 2, 164, 164, 0, 0, 2, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 14, 0.96, 0.83, 15, 151, 150, 1, 5, 10, 0.01, 0.33, 0.25
RF-501, Updown, RotVec, 15, 0.96, 0.87, 19, 147, 146, 1, 5, 14, 0.01, 0.26, 0.21
RF-501, Tilt, RotVec, 1, 0.99, 0.93, 16, 185, 184, 1, 2, 14, 0.01, 0.12, 0.11
RF-501, Tilt, RotVec, 2, 1.00, 1.00, 25, 176, 176, 0, 0, 25, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 3, 0.99, 0.94, 16, 185, 185, 0, 2, 14, 0.00, 0.12, 0.11
RF-501, Tilt, RotVec, 4, 0.99, 0.97, 18, 183, 181, 2, 1, 17, 0.01, 0.06, 0.05
RF-501, Tilt, RotVec, 5, 0.99, 0.93, 7, 194, 193, 1, 1, 6, 0.01, 0.14, 0.13
RF-501, Tilt, RotVec, 6, 0.98, 0.89, 10, 191, 189, 2, 2, 8, 0.01, 0.20, 0.17
RF-501, Tilt, RotVec, 7, 0.99, 0.92, 12, 189, 189, 0, 2, 10, 0.00, 0.17, 0.14
RF-501, Tilt, RotVec, 8, 0.97, 0.81, 16, 185, 185, 0, 6, 10, 0.00, 0.38, 0.27
RF-501, Tilt, RotVec, 9, 0.99, 0.99, 9, 192, 190, 2, 0, 9, 0.01, 0.00, 0.01
RF-501, Tilt, RotVec, 10, 0.97, 0.68, 8, 193, 192, 1, 5, 3, 0.01, 0.62, 0.39
RF-501, Tilt, RotVec, 11, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 12, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 14, 0.99, 0.94, 17, 184, 183, 1, 2, 15, 0.01, 0.12, 0.11
RF-501, Tilt, RotVec, 15, 0.98, 0.85, 17, 184, 184, 0, 5, 12, 0.00, 0.29, 0.23
RF-501, Triangle, RotVec, 1, 1.00, 0.97, 15, 212, 212, 0, 1, 14, 0.00, 0.07, 0.06
RF-501, Triangle, RotVec, 2, 1.00, 1.00, 26, 201, 201, 0, 0, 26, 0.00, 0.00, 0.00
