ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, RotVecMagField, 6, 1.00, 1.00, 8, 92, 92, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Tilt, RotVecMagField, 7, 0.99, 0.75, 2, 98, 98, 0, 1, 1, 0.00, 0.50, 0.33
RF-501, Tilt, RotVecMagField, 8, 0.99, 0.93, 7, 93, 93, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Tilt, RotVecMagField, 9, 0.97, 0.75, 6, 94, 94, 0, 3, 3, 0.00, 0.50, 0.33
RF-501, Tilt, RotVecMagField, 10, 0.98, 0.89, 5, 95, 94, 1, 1, 4, 0.01, 0.20, 0.17
RF-501, Tilt, RotVecMagField, 11, 1.00, 1.00, 4, 96, 96, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Tilt, RotVecMagField, 12, 0.99, 0.99, 5, 95, 94, 1, 0, 5, 0.01, 0.00, 0.01
RF-501, Tilt, RotVecMagField, 13, 1.00, 1.00, 6, 94, 94, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Tilt, RotVecMagField, 14, 0.99, 0.99, 6, 94, 93, 1, 0, 6, 0.01, 0.00, 0.01
RF-501, Tilt, RotVecMagField, 15, 0.99, 0.94, 9, 91, 91, 0, 1, 8, 0.00, 0.11, 0.10
RF-501, Triangle, RotVecMagField, 1, 0.96, 0.69, 8, 105, 105, 0, 5, 3, 0.00, 0.62, 0.38
RF-501, Triangle, RotVecMagField, 2, 0.99, 0.94, 9, 104, 104, 0, 1, 8, 0.00, 0.11, 0.10
RF-501, Triangle, RotVecMagField, 3, 0.98, 0.92, 12, 101, 101, 0, 2, 10, 0.00, 0.17, 0.14
RF-501, Triangle, RotVecMagField, 4, 0.97, 0.88, 9, 104, 103, 1, 2, 7, 0.01, 0.22, 0.18
RF-501, Triangle, RotVecMagField, 5, 0.96, 0.78, 7, 106, 105, 1, 3, 4, 0.01, 0.43, 0.30
RF-501, Triangle, RotVecMagField, 6, 1.00, 1.00, 7, 106, 106, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, RotVecMagField, 7, 0.99, 0.92, 6, 107, 107, 0, 1, 5, 0.00, 0.17, 0.14
